Area,Year,Item,Area Harvested,Production,Yeild
Bangladesh,Y1961,Areca nuts,82600,62995,7627
Bangladesh,Y1962,Areca nuts,82600,55882,6765
Bangladesh,Y1963,Areca nuts,82200,58931,7169
Bangladesh,Y1964,Areca nuts,79700,56898,7139
Bangladesh,Y1965,Areca nuts,71200,46738,6564
Bangladesh,Y1966,Areca nuts,44900,24385,5431
Bangladesh,Y1967,Areca nuts,38900,26925,6922
Bangladesh,Y1968,Areca nuts,38000,28449,7487
Bangladesh,Y1969,Areca nuts,40900,26400,6455
Bangladesh,Y1970,Areca nuts,40100,26385,6580
Bangladesh,Y1971,Areca nuts,40100,23369,5828
Bangladesh,Y1972,Areca nuts,37683,21448,5692
Bangladesh,Y1973,Areca nuts,37573,21550,5736
Bangladesh,Y1974,Areca nuts,37116,21419,5771
Bangladesh,Y1975,Areca nuts,37336,22424,6006
Bangladesh,Y1976,Areca nuts,37049,23765,6414
Bangladesh,Y1977,Areca nuts,37387,25665,6865
Bangladesh,Y1978,Areca nuts,37118,25828,6958
Bangladesh,Y1979,Areca nuts,36661,26458,7217
Bangladesh,Y1980,Areca nuts,36227,23767,6561
Bangladesh,Y1981,Areca nuts,36432,25051,6876
Bangladesh,Y1982,Areca nuts,35368,24091,6812
Bangladesh,Y1983,Areca nuts,35613,23000,6458
Bangladesh,Y1984,Areca nuts,35182,24200,6879
Bangladesh,Y1985,Areca nuts,34559,22700,6568
Bangladesh,Y1986,Areca nuts,33945,23055,6792
Bangladesh,Y1987,Areca nuts,34233,21765,6358
Bangladesh,Y1988,Areca nuts,34648,22425,6472
Bangladesh,Y1989,Areca nuts,34800,23000,6609
Bangladesh,Y1990,Areca nuts,34912,22760,6519
Bangladesh,Y1991,Areca nuts,35813,24120,6735
Bangladesh,Y1992,Areca nuts,35916,24260,6755
Bangladesh,Y1993,Areca nuts,35813,23855,6661
Bangladesh,Y1994,Areca nuts,35600,26000,7303
Bangladesh,Y1995,Areca nuts,36000,26000,7222
Bangladesh,Y1996,Areca nuts,36400,27000,7418
Bangladesh,Y1997,Areca nuts,36000,27000,7500
Bangladesh,Y1998,Areca nuts,36000,28000,7778
Bangladesh,Y1999,Areca nuts,77000,44000,5714
Bangladesh,Y2000,Areca nuts,77000,45000,5844
Bangladesh,Y2001,Areca nuts,77800,47000,6041
Bangladesh,Y2002,Areca nuts,77296,51000,6598
Bangladesh,Y2003,Areca nuts,77296,55000,7116
Bangladesh,Y2004,Areca nuts,77700,55000,7079
Bangladesh,Y2005,Areca nuts,167640,93820,5597
Bangladesh,Y2006,Areca nuts,168680,97415,5775
Bangladesh,Y2007,Areca nuts,165270,101240,6126
Bangladesh,Y2008,Areca nuts,173380,97947,5649
Bangladesh,Y2009,Areca nuts,176350,105448,5979
Bangladesh,Y2010,Areca nuts,178630,91681,5132
Bangladesh,Y2011,Areca nuts,182389,105953,5809
Bangladesh,Y2012,Areca nuts,222570,136000,6110
Bangladesh,Y2013,Areca nuts,238760,181000,7581
Bangladesh,Y2014,Areca nuts,230670,188000,8150
Bangladesh,Y2015,Areca nuts,238760,218000,9131
Bangladesh,Y2016,Areca nuts,238760,214000,8963
Bangladesh,Y2017,Areca nuts,291210,246863,8477
Bangladesh,Y2018,Areca nuts,270358,215783,7981
Bangladesh,Y2019,Areca nuts,386957,316715,8185
Bangladesh,Y1961,Bananas,33600,446000,132738
Bangladesh,Y1962,Bananas,34800,512100,147155
Bangladesh,Y1963,Bananas,34000,469400,138059
Bangladesh,Y1964,Bananas,36000,571100,158639
Bangladesh,Y1965,Bananas,40500,619800,153037
Bangladesh,Y1966,Bananas,42100,760000,180523
Bangladesh,Y1967,Bananas,43700,741700,169725
Bangladesh,Y1968,Bananas,43284,767100,177225
Bangladesh,Y1969,Bananas,43083,744744,172863
Bangladesh,Y1970,Bananas,39204,593400,151362
Bangladesh,Y1971,Bananas,37984,595751,156843
Bangladesh,Y1972,Bananas,37557,585987,156026
Bangladesh,Y1973,Bananas,37462,588181,157007
Bangladesh,Y1974,Bananas,36830,575120,156155
Bangladesh,Y1975,Bananas,37211,578318,155416
Bangladesh,Y1976,Bananas,37735,588625,155989
Bangladesh,Y1977,Bananas,37992,589714,155221
Bangladesh,Y1978,Bananas,38211,596393,156079
Bangladesh,Y1979,Bananas,39044,616393,157871
Bangladesh,Y1980,Bananas,40226,652101,162109
Bangladesh,Y1981,Bananas,42385,683855,161344
Bangladesh,Y1982,Bananas,42772,698786,163375
Bangladesh,Y1983,Bananas,41940,674708,160875
Bangladesh,Y1984,Bananas,40476,689767,170414
Bangladesh,Y1985,Bananas,40580,691405,170381
Bangladesh,Y1986,Bananas,40975,759110,185262
Bangladesh,Y1987,Bananas,41055,683970,166598
Bangladesh,Y1988,Bananas,38314,608921,158929
Bangladesh,Y1989,Bananas,39142,637087,162763
Bangladesh,Y1990,Bananas,38904,623670,160310
Bangladesh,Y1991,Bananas,39119,626265,160092
Bangladesh,Y1992,Bananas,38875,636110,163630
Bangladesh,Y1993,Bananas,38948,631550,162152
Bangladesh,Y1994,Bananas,39448,639850,162201
Bangladesh,Y1995,Bananas,39700,634000,159698
Bangladesh,Y1996,Bananas,39632,633645,159882
Bangladesh,Y1997,Bananas,39646,628425,158509
Bangladesh,Y1998,Bananas,39618,624735,157690
Bangladesh,Y1999,Bananas,39254,562000,143170
Bangladesh,Y2000,Bananas,40469,572000,141343
Bangladesh,Y2001,Bananas,42914,606000,141213
Bangladesh,Y2002,Bananas,44921,654000,145589
Bangladesh,Y2003,Bananas,45350,649730,143270
Bangladesh,Y2004,Bananas,49281,706585,143379
Bangladesh,Y2005,Bananas,53862,898710,166854
Bangladesh,Y2006,Bananas,55847,909060,162777
Bangladesh,Y2007,Bananas,58792,1004520,170860
Bangladesh,Y2008,Bananas,53270,877123,164656
Bangladesh,Y2009,Bananas,53585,836183,156048
Bangladesh,Y2010,Bananas,53946,818254,151680
Bangladesh,Y2011,Bananas,52847,800840,151539
Bangladesh,Y2012,Bananas,49278,745927,151371
Bangladesh,Y2013,Bananas,48157,774826,160896
Bangladesh,Y2014,Bananas,46134,770203,166949
Bangladesh,Y2015,Bananas,46714,777427,166423
Bangladesh,Y2016,Bananas,47432,798012,168243
Bangladesh,Y2017,Bananas,48644,807104,165921
Bangladesh,Y2018,Bananas,49123,810347,164963
Bangladesh,Y2019,Bananas,48850,833309,170585
Bangladesh,Y1961,Barley,29947,17272,5768
Bangladesh,Y1962,Barley,33589,18288,5445
Bangladesh,Y1963,Barley,30756,21336,6937
Bangladesh,Y1964,Barley,23877,13208,5532
Bangladesh,Y1965,Barley,20639,12192,5907
Bangladesh,Y1966,Barley,21900,12200,5571
Bangladesh,Y1967,Barley,22700,15200,6696
Bangladesh,Y1968,Barley,24700,16300,6599
Bangladesh,Y1969,Barley,28300,18300,6466
Bangladesh,Y1970,Barley,29500,19300,6542
Bangladesh,Y1971,Barley,37200,26400,7097
Bangladesh,Y1972,Barley,28700,21300,7422
Bangladesh,Y1973,Barley,25900,16300,6293
Bangladesh,Y1974,Barley,24453,15419,6306
Bangladesh,Y1975,Barley,25550,16367,6406
Bangladesh,Y1976,Barley,25558,17126,6701
Bangladesh,Y1977,Barley,23484,14744,6278
Bangladesh,Y1978,Barley,21327,13474,6318
Bangladesh,Y1979,Barley,19952,12592,6311
Bangladesh,Y1980,Barley,19557,12694,6491
Bangladesh,Y1981,Barley,18351,11640,6343
Bangladesh,Y1982,Barley,15128,10406,6879
Bangladesh,Y1983,Barley,12633,8844,7001
Bangladesh,Y1984,Barley,9605,6461,6727
Bangladesh,Y1985,Barley,24725,15491,6265
Bangladesh,Y1986,Barley,21996,14073,6398
Bangladesh,Y1987,Barley,19499,12227,6271
Bangladesh,Y1988,Barley,17910,11449,6393
Bangladesh,Y1989,Barley,18609,11477,6167
Bangladesh,Y1990,Barley,18605,11684,6280
Bangladesh,Y1991,Barley,17618,10800,6130
Bangladesh,Y1992,Barley,16060,10200,6351
Bangladesh,Y1993,Barley,12296,7570,6156
Bangladesh,Y1994,Barley,10072,6235,6190
Bangladesh,Y1995,Barley,10000,6000,6000
Bangladesh,Y1996,Barley,9354,6015,6430
Bangladesh,Y1997,Barley,9407,5985,6362
Bangladesh,Y1998,Barley,9270,6040,6516
Bangladesh,Y1999,Barley,8498,5000,5884
Bangladesh,Y2000,Barley,6880,5000,7267
Bangladesh,Y2001,Barley,5668,4000,7057
Bangladesh,Y2002,Barley,4048,3000,7411
Bangladesh,Y2003,Barley,2383,1695,7113
Bangladesh,Y2004,Barley,1881,1375,7310
Bangladesh,Y2005,Barley,1275,1170,9176
Bangladesh,Y2006,Barley,969,760,7843
Bangladesh,Y2007,Barley,929,755,8127
Bangladesh,Y2008,Barley,613,537,8760
Bangladesh,Y2009,Barley,549,472,8597
Bangladesh,Y2010,Barley,619,528,8530
Bangladesh,Y2011,Barley,547,484,8848
Bangladesh,Y2012,Barley,361,320,8864
Bangladesh,Y2013,Barley,290,260,8966
Bangladesh,Y2014,Barley,248,266,10726
Bangladesh,Y2015,Barley,348,307,8822
Bangladesh,Y2016,Barley,356,317,8904
Bangladesh,Y2017,Barley,329,287,8723
Bangladesh,Y2018,Barley,301,244,8106
Bangladesh,Y2019,Barley,191,157,8220
Bangladesh,Y1961,"Bastfibres, others",30900,34350,11117
Bangladesh,Y1962,"Bastfibres, others",30900,34900,11294
Bangladesh,Y1963,"Bastfibres, others",31700,34170,10779
Bangladesh,Y1964,"Bastfibres, others",37700,44900,11910
Bangladesh,Y1965,"Bastfibres, others",50700,54540,10757
Bangladesh,Y1966,"Bastfibres, others",23500,26140,11123
Bangladesh,Y1967,"Bastfibres, others",51100,57960,11342
Bangladesh,Y1968,"Bastfibres, others",25205,26926,10683
Bangladesh,Y1969,"Bastfibres, others",38731,44283,11433
Bangladesh,Y1970,"Bastfibres, others",27305,28380,10394
