Area,Year,Item,Area Harvested,Production,Yield
Bangladesh,1961,Areca nuts,82600,62995,7627
Bangladesh,1961,Bananas,33600,446000,132738
Bangladesh,1961,Barley,29947,17272,5768
Bangladesh,1961,"Bastfibres, others",30900,34350,11117
Bangladesh,1961,"Beans, dry",68798,49784,7236
Bangladesh,1961,"Beans, green",4266,15719,36847
Bangladesh,1961,Berries nes,500,2000,40000
Bangladesh,1961,Cabbages and other brassicas,5765,33185,57563
Bangladesh,1961,Castor oil seed,405,203,5012
Bangladesh,1961,Cauliflowers and broccoli,5419,27363,50495
Bangladesh,1961,Chick peas,60299,36576,6066
Bangladesh,1961,"Chillies and peppers, dry",70800,47000,6638
Bangladesh,1961,Coconuts,17800,49786,27970
Bangladesh,1961,Cucumbers and gherkins,2537,11062,43603
Bangladesh,1961,Fibre crops nes,2400,2200,9167
Bangladesh,1961,"Fruit, fresh nes",9000,60000,66667
Bangladesh,1961,"Fruit, tropical fresh nes",13000,120000,92308
Bangladesh,1961,Garlic,9700,33600,34639
Bangladesh,1961,Ginger,3000,20000,66667
Bangladesh,1961,Grapefruit (inc. pomelos),500,2000,40000
Bangladesh,1961,"Groundnuts, with shell",11736,13208,11254
Bangladesh,1961,Jute,834000,1314540,15762
Bangladesh,1961,Lemons and limes,400,1000,25000
Bangladesh,1961,Lentils,62727,42672,6803
Bangladesh,1961,Lettuce and chicory,8500,48000,56471
Bangladesh,1961,Linseed,19425,10160,5230
Bangladesh,1961,Maize,8903,7112,7988
Bangladesh,1961,"Mangoes, mangosteens, guavas",40000,508000,127000
Bangladesh,1961,"Melons, other (inc.cantaloupes)",6000,100000,166667
Bangladesh,1961,Millet,59500,39600,6655
Bangladesh,1961,Oilseeds nes,5261,1016,1931
Bangladesh,1961,"Onions, dry",22300,136500,61211
Bangladesh,1961,Oranges,2000,10000,50000
Bangladesh,1961,"Peas, dry",38000,25000,6579
Bangladesh,1961,Pigeon peas,5666,4064,7173
Bangladesh,1961,Pineapples,3600,19305,53625
Bangladesh,1961,Potatoes,55847,343408,61491
Bangladesh,1961,Pulses nes,129501,95504,7375
Bangladesh,1961,"Rice, paddy",8483516,14426184,17005
Bangladesh,1961,Sesame seed,57466,26416,4597
Bangladesh,1961,Sorghum,809,1016,12559
Bangladesh,1961,Spices nes,37600,116800,31064
Bangladesh,1961,Spinach,1350,6200,45926
Bangladesh,1961,Sugar cane,112908,4018280,355890
Bangladesh,1961,Sugar crops nes,9200,340000,369565
Bangladesh,1961,Sweet potatoes,37000,330000,89189
Bangladesh,1961,"Tangerines, mandarins, clementines, satsumas",700,5000,71429
Bangladesh,1961,Tea,32000,26542,8294
Bangladesh,1961,Tobacco,41300,25900,6271
Bangladesh,1961,Tomatoes,8071,48905,60593
Bangladesh,1961,"Vegetables, fresh nes",74138,362128,48845
Bangladesh,1961,Wheat,56657,5738,32512
Bangladesh,1961,Roots and Tubers,92847,673408,72529
Bangladesh,1961,Vegetables Primary,157150,806500,51320
Bangladesh,1962,Areca nuts,82600,55882,6765
Bangladesh,1962,Bananas,34800,512100,147155
Bangladesh,1962,Barley,33589,18288,5445
Bangladesh,1962,"Bastfibres, others",30900,34900,11294
Bangladesh,1962,"Beans, dry",73654,49784,6759
Bangladesh,1962,"Beans, green",3952,15034,38041
Bangladesh,1962,Berries nes,600,3000,50000
Bangladesh,1962,Cabbages and other brassicas,5340,31738,59434
Bangladesh,1962,Castor oil seed,405,203,5012
Bangladesh,1962,Cauliflowers and broccoli,5019,26170,52142
Bangladesh,1962,Chick peas,57466,37592,6542
Bangladesh,1962,"Chillies and peppers, dry",70000,48000,6857
Bangladesh,1962,Coconuts,18600,51819,27860
Bangladesh,1962,Cucumbers and gherkins,2350,10579,45017
Bangladesh,1962,Fibre crops nes,2000,1800,9000
Bangladesh,1962,"Fruit, fresh nes",9000,60000,66667
Bangladesh,1962,"Fruit, tropical fresh nes",13000,127000,97692
Bangladesh,1962,Garlic,9700,34500,35567
Bangladesh,1962,Ginger,3300,22000,66667
Bangladesh,1962,Grapefruit (inc. pomelos),500,2000,40000
Bangladesh,1962,"Groundnuts, with shell",9308,13208,14190
Bangladesh,1962,Jute,697300,1190160,17068
Bangladesh,1962,Lemons and limes,800,2000,25000
Bangladesh,1962,Lentils,64346,47752,7421
Bangladesh,1962,Lettuce and chicory,9000,51000,56667
Bangladesh,1962,Linseed,19830,10160,5124
Bangladesh,1962,Maize,6880,5080,7384
Bangladesh,1962,"Mangoes, mangosteens, guavas",44000,504000,114545
Bangladesh,1962,"Melons, other (inc.cantaloupes)",6000,100000,166667
Bangladesh,1962,Millet,61500,39600,6439
Bangladesh,1962,Oilseeds nes,4856,1016,2092
Bangladesh,1962,"Onions, dry",23500,130600,55574
Bangladesh,1962,Oranges,3000,15000,50000
Bangladesh,1962,"Peas, dry",40000,26000,6500
Bangladesh,1962,Pigeon peas,4047,3048,7532
Bangladesh,1962,Pineapples,5700,21163,37128
Bangladesh,1962,Potatoes,55847,336296,60217
Bangladesh,1962,Pulses nes,138809,93472,6734
Bangladesh,1962,"Rice, paddy",8694360,13304520,15302
Bangladesh,1962,Sesame seed,53014,26416,4983
Bangladesh,1962,Sorghum,809,1016,12559
Bangladesh,1962,Spices nes,31600,94500,29905
Bangladesh,1962,Spinach,1350,6300,46667
Bangladesh,1962,Sugar cane,117360,4488688,382472
Bangladesh,1962,Sugar crops nes,9500,350000,368421
Bangladesh,1962,Sweet potatoes,39000,350000,89744
Bangladesh,1962,"Tangerines, mandarins, clementines, satsumas",700,5000,71429
Bangladesh,1962,Tea,33000,23387,7087
Bangladesh,1962,Tobacco,43700,31800,7277
Bangladesh,1962,Tomatoes,7476,46771,62562
Bangladesh,1962,"Vegetables, fresh nes",68672,346329,50432
Bangladesh,1962,Wheat,58680,6753,39624
Bangladesh,1962,Roots and Tubers,94847,686296,72358
Bangladesh,1962,Vegetables Primary,150350,779200,51826
Bangladesh,1962,Areca nuts,82200,58931,7169
Bangladesh,1962,Bananas,34000,469400,138059
Bangladesh,1962,Barley,30756,21336,6937
Bangladesh,1962,"Bastfibres, others",31700,34170,10779
