FinancialYear,DistrictName ,TotalArea(Acres),Production(Tons)
1969-1970,Dhaka,765390,312720
1969-1970,Kishoregonj,588140,251340
1969-1970,Mymensingh,1501670,687190
1969-1970,Tangail,0,0
1969-1970,Faridpur,786200,303645
1969-1970,Chittagong,497290,319075
1969-1970,Chittagong H. T.,57280,38140
1969-1970,Noakhali,726660,332125
1969-1970,Comilla,976420,508305
1969-1970,Sylhet,1223850,629510
1969-1970,Rajshahi,1111420,544415
1969-1970,Dinajpur,888530,407065
1969-1970,Rangpur,1209490,622025
1969-1970,Bogra,634460,280905
1969-1970,Pabna,567080,232810
1969-1970,Khulna,1007020,437665
1969-1970,Bakergonj,1598910,746570
1969-1970,Patuakhali,0,0
1969-1970,Jessore,552400,231120
1969-1970,Kushtia,148990,64600
1970-1971,Dhaka,674300,266655
1970-1971,Kishoregonj,539180,205650
1970-1971,Mymensingh,1051810,450930
1970-1971,Tangail,242360,69425
1970-1971,Faridpur,686009,181385
1970-1971,Chittagong,517235,258050
1970-1971,Chittagong H. T.,54810,32485
1970-1971,Noakhali,612048,218300
1970-1971,Comilla,965080,452930
1970-1971,Sylhet,1241590,645600
1970-1971,Rajshahi,1142560,584540
1970-1971,Dinajpur,893380,455405
1970-1971,Rangpur,1286790,731755
1970-1971,Bogra,658210,350460
1970-1971,Pabna,493655,163220
1970-1971,Khulna,927445,255935
1970-1971,Bakergonj,840863,189540
1970-1971,Patuakhali,690675,139215
1970-1971,Jessore,516210,94430
1970-1971,Kushtia,150110,67520
1971-1972,Dhaka,682250,302490
1971-1972,Kishoregonj,559415,231475
1971-1972,Mymensingh,1045000,530070
1971-1972,Tangail,361820,151475
1971-1972,Faridpur,592870,127105
1971-1972,Chittagong,546425,299685
1971-1972,Chittagong H.T.,58840,32805
1971-1972,Noakhali,736150,281485
1971-1972,Comilla,946545,431115
1971-1972,Sylhet,1075590,497775
1971-1972,Rajshahi,928840,349600
1971-1972,Dinajpur,792830,285855
1971-1972,Rangpur,1294500,751570
1971-1972,Bogra,598645,297250
1971-1972,Pabna,479555,140690
1971-1972,Khulna,761105,217995
1971-1972,Bakergonj,830515,302025
1971-1972,Patuakhali,606070,221715
1971-1972,Jessore,574785,222240
1971-1972,Kushtia,53810,21920
1972-1973,Dhaka,737720,275915
1972-1973,Kishoregonj,564695,223995
1972-1973,Mymensingh,1082500,478155
1972-1973,Tangail,378125,140885
1972-1973,Faridpur,742260,198315
1972-1973,Chittagong,569045,298870
1972-1973,Chittagong H.T.,33940,13970
1972-1973,Noakhali,711710,277315
1972-1973,Comilla,948270,407610
1972-1973,Sylhet,1038635,414990
1972-1973,Rajshahi,1114080,405005
1972-1973,Dinajpur,741400,327010
1972-1973,Rangpur,1298620,631115
1972-1973,Bogra,619855,265960
1972-1973,Pabna,468950,143400
1972-1973,Khulna,837565,247690
1972-1973,Bakergonj,902450,360275
1972-1973,Patuakhali,655175,233550
1972-1973,Jessore,536915,191615
1972-1973,Kushtia,138475,50920
1973-1974,Dhaka,726700,304915
1973-1974,Kishoregonj,554765,291190
1973-1974,Mymensingh,1075255,620570
1973-1974,Tangail,370810,166130
1973-1974,Faridpur,728655,236675
1973-1974,Chittagong,579960,372250
1973-1974,Chittagong H.T.,62990,38335
1973-1974,Noakhali,745450,297315
1973-1974,Comilla,924305,515140
1973-1974,Sylhet,1117485,574055
1973-1974,Rajshahi,973630,404810
1973-1974,Dinajpur,876485,484850
1973-1974,Rangpur,1298830,775020
1973-1974,Bogra,575340,325880
1973-1974,Pabna,386430,134545
1973-1974,Khulna,913040,377210
1973-1974,Bakergonj,904450,333855
1973-1974,Patuakhali,588305,136430
1973-1974,Jessore,590930,241110
1973-1974,Kushtia,139000,68615
1974-1975,Dhaka,477000,187195
1974-1975,Kishoregonj,977645,543010
1974-1975,Mymensingh,409695,173205
1974-1975,Tangail,667230,184465
1974-1975,Faridpur,560550,343390
1974-1975,Chittagong,560550,343390
1974-1975,Chittagong H.T.,58195,33075
1974-1975,Noakhali,633920,259475
1974-1975,Comilla,730175,240635
1974-1975,Sylhet,941960,443240
1974-1975,Rajshahi,1074320,449695
1974-1975,Dinajpur,850805,441220
1974-1975,Rangpur,1276235,692540
1974-1975,Bogra,568865,330010
1974-1975,Pabna,446800,147320
1974-1975,Khulna,887195,403025
1974-1975,Bakergonj,863065,301035
1974-1975,Patuakhali,587250,232465
1974-1975,Jessore,606000,272120
1974-1975,Kushtia,158810,70465
1975-1976,Dhaka,703365,357875
1975-1976,Kishoregonj,525385,288810
1975-1976,Mymensingh,1068510,622035
1975-1976,Tangail,405820,161220
1975-1976,Faridpur,716635,244135
1975-1976,Chittagong,567500,383375
1975-1976,Chittagong H. T.,60840,39755
1975-1976,Noakhali,710485,320755
1975-1976,Comilla,876395,481915
1975-1976,Sylhet,1110660,544495
1975-1976,Rajshahi,1069450,454840
1975-1976,Dinajpur,802370,420695
1975-1976,Rangpur,1317170,702755
1975-1976,Bogra,560625,292430
1975-1976,Pabna,533595,216385
1975-1976,Khulna,972010,481750
1975-1976,Bakergonj,872170,379155
1975-1976,Patuakhali,607385,299115
1975-1976,Jessore,604170,291460
1975-1976,Kushtia,151165,62145
1976-1977,Dhaka,730900,316265
1976-1977,Kishoregonj,509760,284360
1976-1977,Mymensingh,5,531460
1976-1977,Jamalpur,0,0
1976-1977,Tangail,451525,180125
1976-1977,Faridpur,753500,224300
1976-1977,Chittagong,561400,383330
1976-1977,Chittagong H. T.,64875,42675
1976-1977,Noakhali,731215,395385
1976-1977,Comilla,913665,437165
1976-1977,Sylhet,907990,432305
1976-1977,Rajshahi,1085795,472285
1976-1977,Dinajpur,808620,433845
1976-1977,Rangpur,1302095,683845
1976-1977,Bogra,580140,310745
1976-1977,Pabna,583325,226230
1976-1977,Khulna,964425,471210
1976-1977,Bakergonj,928285,417420
1976-1977,Patuakhali,609500,303550
1976-1977,Jessore,621995,280945
1976-1977,Kushtia,174765,78235
1977-1978,Dhaka,711320,344075
1977-1978,Kishoregonj,504745,310425
1977-1978,Mymensingh,1084605,566470
1977-1978,Jamalpur,0,0
1977-1978,Tangail,442260,211800
1977-1978,Faridpur,710095,242345
1977-1978,Chittagong,572800,400395
1977-1978,Chittagong H. T.,66015,46455
1977-1978,Noakhali,725785,452260
1977-1978,Comilla,919125,505045
1977-1978,Sylhet,905000,478980
