FinancialYear,DistrictName ,TotalArea(Acres),Production(Tons)
1969-1970,Dhaka,178455,161180
1969-1970,Kishoregonj,427595,359105
1969-1970,Mymensingh,129880,111680
1969-1970,Tangail,49800,50710
1969-1970,Faridpur,31695,31510
1969-1970,Chittagong,143481,162770
1969-1970,Chittagong H.T.,31520,30090
1969-1970,Noakhali,44760,57140
1969-1970,Comilla,168750,162470
1969-1970,Sylhet,656240,474290
1969-1970,Rajshahi,90360,66730
1969-1970,Dinajpur,6995,6800
1969-1970,Rangpur,32570,30555
1969-1970,Bogra,30320,22680
1969-1970,Pabna,21090,18120
1969-1970,Khulna,41865,33630
1969-1970,Bakergonj,56190,74380
1969-1970,Patuakhali,18900,22330
1969-1970,Jessore,19840,23850
1969-1970,Kushtia,2850,2890
1970-1971,Dhaka,179600,167805
1970-1971,Kishoregonj,445000,338145
1970-1971,Mymensingh,139000,125850
1970-1971,Tangail,51500,49315
1970-1971,Faridpur,46300,49885
1970-1971,Chittagong,167445,201390
1970-1971,Chittagong H.T.,29190,25340
1970-1971,Noakhali,52235,66555
1970-1971,Comilla,187455,184035
1970-1971,Sylhet,669400,515705
1970-1971,Rajshahi,95000,78590
1970-1971,Dinajpur,13350,9220
1970-1971,Rangpur,35000,29665
1970-1971,Bogra,36600,33825
1970-1971,Pabna,26435,26780
1970-1971,Khulna,53695,44930
1970-1971,Bakergonj,116110,145515
1970-1971,Patuakhali,53485,65550
1970-1971,Jessore,23670,29375
1970-1971,Kushtia,4980,4710
1971-1972,Dhaka,186300,177115
1971-1972,Kishoregonj,420240,287135
1971-1972,Mymensingh,135030,103440
1971-1972,Tangail,41100,32220
1971-1972,Faridpur,43760,42400
1971-1972,Chittagong,157270,179330
1971-1972,Chittagong H.T.,21365,17020
1971-1972,Noakhali,68295,81970
1971-1972,Comilla,167470,137410
1971-1972,Sylhet,578675,353560
1971-1972,Rajshahi,84240,63020
1971-1972,Dinajpur,3685,3295
1971-1972,Rangpur,29995,24725
1971-1972,Bogra,30065,20595
1971-1972,Pabna,29435,27030
1971-1972,Khulna,47675,30825
1971-1972,Bakergonj,84245,96155
1971-1972,Patuakhali,38065,42010
1971-1972,Jessore,14830,15605
1971-1972,Kushtia,3590,2610
1972-1973,Chittagong,151495,183085
1972-1973,Chittagong H.T.,19600,15235
1972-1973,Comilla,174750,150820
1972-1973,Noakhali,69950,77750
1972-1973,Sylhet,628865,408220
1972-1973,Dhaka,206735,211130
1972-1973,Faridpur,57335,67260
1972-1973,Jamalpur,0,0
1972-1973,Kishoregonj,452010,315185
1972-1973,Mymensingh,149745,115940
1972-1973,Tangail,54045,58285
1972-1973,Barisal,109670,129695
1972-1973,Jessore,19235,21285
1972-1973,Khulna,51765,38320
1972-1973,Kushtia,5050,4655
1972-1973,Patuakhali,56410,68990
1972-1973,Bogra,38855,34375
1972-1973,Dinajpur,11500,13975
1972-1973,Pabna,42370,40640
1972-1973,Rajshahi,97435,82030
1972-1973,Rangpur,37270,33335
1973-1974,Dhaka,205780,215770
1973-1974,Kishoregonj,444915,318280
1973-1974,Mymensingh,162530,125070
1973-1974,Tangail,54750,55040
1973-1974,Faridpur,60540,70700
1973-1974,Chittagong,184040,194345
1973-1974,Chittagong H.T.,19590,16605
1973-1974,Noakhali,136110,147015
1973-1974,Comilla,241720,227295
1973-1974,Sylhet,491435,192660
1973-1974,Rajshahi,125005,119685
1973-1974,Dinajpur,13195,14065
1973-1974,Rangpur,55860,51205
1973-1974,Bogra,46645,39520
1973-1974,Pabna,64700,59860
1973-1974,Khulna,47955,31610
1973-1974,Bakergonj,144425,146910
1973-1974,Patuakhali,64285,63645
1973-1974,Jessore,26270,25900
1973-1974,Kushtia,5930,4820
1974-1975,Dhaka,240985,191975
1974-1975,Kishoregonj,445000,323790
1974-1975,Mymensingh,162505,106425
1974-1975,Tangail,75785,80080
1974-1975,Faridpur,73305,67705
1974-1975,Chittagong,204655,201380
1974-1975,Chittagong H.T.,25670,21865
1974-1975,Noakhali,169555,143895
1974-1975,Comilla,248565,220010
1974-1975,Sylhet,650845,406080
1974-1975,Rajshahi,126005,104125
1974-1975,Dinajpur,21965,20535
1974-1975,Rangpur,58800,49675
1974-1975,Bogra,59695,38920
1974-1975,Pabna,71160,57720
1974-1975,Khulna,53970,35120
1974-1975,Bakergonj,112060,107680
1974-1975,Patuakhali,29540,31085
1974-1975,Jessore,34160,35800
1974-1975,Kushtia,7800,5815
1975-1976,Dhaka,231935,216165
1975-1976,Kishoregonj,450000,344440
1975-1976,Mymensingh,177240,113680
1975-1976,Tangail,79565,78830
1975-1976,Faridpur,66545,60715
1975-1976,Chittagong,195320,187955
1975-1976,Chittagong H.T.,20650,14995
1975-1976,Noakhali,175475,170065
1975-1976,Comilla,239990,218920
1975-1976,Sylhet,650250,417850
1975-1976,Rajshahi,129060,101630
1975-1976,Dinajpur,11870,10235
1975-1976,Rangpur,55660,40970
1975-1976,Bogra,54035,38750
1975-1976,Pabna,65410,57260
1975-1976,Khulna,44700,28660
1975-1976,Bakergonj,119600,115210
1975-1976,Patuakhali,42320,43365
1975-1976,Jessore,22170,21155
1975-1976,Kushtia,5520,3930
1976-1977,Dhaka,233740,203730
1976-1977,Kishoregonj,357910,289270
1976-1977,Mymensingh,154410,86165
1976-1977,Jamalpur,0,0
1976-1977,Tangail,76810,82930
1976-1977,Faridpur,42625,38730
1976-1977,Chittagong,220335,185430
1976-1977,Chittagong H.T.,28050,24145
1976-1977,Noakhali,153390,132915
1976-1977,Comilla,208290,177030
1976-1977,Sylhet,300000,149875
1976-1977,Rajshahi,105800,94660
1976-1977,Dinajpur,12485,11215
1976-1977,Rangpur,31040,19220
1976-1977,Bogra,24065,19685
1976-1977,Pabna,30135,26315
1976-1977,Khulna,31175,18595
1976-1977,Bakergonj,66255,57985
1976-1977,Patuakhali,11460,8920
1976-1977,Jessore,18640,18955
1976-1977,Kushtia,5265,4355
1977-1978,Dhaka,238700,214495
1977-1978,Kishoregonj,408140,311245
1977-1978,Mymensingh,174235,126445
1977-1978,Jamalpur ,0,0
1977-1978,Tangail,97235,106383
1977-1978,Faridpur,51345,51135
1977-1978,Chittagong,219450,208665
1977-1978,Chittagong H.T.,25220,20100
1977-1978,Noakhali,157430,138630
1977-1978,Comilla,208600,187195
1977-1978,Sylhet,634000,430125
1977-1978,Rajshahi,104650,95995
1977-1978,Dinajpur,14680,13960
1977-1978,Rangpur,58760,46265
1977-1978,Bogra,54570,55210
1977-1978,Pabna,38580,36735
1977-1978,Khulna,44885,32285
1977-1978,Bakergonj,118075,109495
1977-1978,Patuakhali,27450,24895
1977-1978,Jessore,23550,26600
1977-1978,Kushtia,3565,2755
1978-1979,Dhaka,254850,226625
1978-1979,Kishoregonj,413000,252095
1978-1979,Mymensingh,106840,70165
1978-1979,Jamalpur,67695,44890
1978-1979,Tangail,102000,80585
1978-1979,Faridpur,55530,56875
1978-1979,Chittagong,223760,216485
1978-1979,Chittagong H.T.,20745,15845
1978-1979,Noakhali,141545,119675
1978-1979,Comilla,241330,198465
1978-1979,Sylhet,558550,273905
1978-1979,Rajshahi,92665,70305
1978-1979,Dinajpur,12845,10820
1978-1979,Rangpur,80085,52765
1978-1979,Bogra,55670,61360
1978-1979,Pabna,37400,24760
1978-1979,Khulna,44510,30720
1978-1979,Bakergonj,88000,77995
1978-1979,Patuakhali,31770,24470
1978-1979,Jessore,17190,18060
1978-1979,Kushtia,3405,2480
1979-1980,Chittagong,240500,268215
1979-1980,Chittagong H.T.,21080,22730
1979-1980,Comilla,240530,244525
1979-1980,Noakhali,144480,207375
1979-1980,Sylhet,645000,460655
