DistrictName,Financial Year,TotalArea(Acres),TotalProduction(Tons)
Bagerhat,2006-2007,12055,8669
Bagerhat,2007-2008,14390,9995
Bagerhat,2008-2009,20650,13926
Bagerhat,2009-2010,16626,11051
Bagerhat,2010-2011,23150,17208
Bagerhat,2011-2012,26060,22426
Bagerhat,2012-2013,13003,6040
Bagerhat,2013-2014,13646,7801
Bagerhat,2014-2015,20258,19709
Bakergonj,1969-1970,470150,181155
Bakergonj,1970-1971,2340,508750
Bakergonj,1971-1972,461215,128750
Bakergonj,1972-1973,475530,166645
Bakergonj,1973-1974,497085,173840
Bakergonj,1974-1975,470405,118675
Bakergonj,1975-1976,482430,197650
Bakergonj,1976-1977,477135,221790
Bakergonj,1977-1978,402265,144810
Bakergonj,1978-1979,457465,176125
Bandarban,1979-1980,0,0
Bandarban,1980-1981,0,0
Bandarban,1981-1982,0,0
Bandarban,1982-1983,0,0
Bandarban,1983-1984,0,0
Bandarban,1984-1985,17900,10579
Bandarban,1985-1986,16685,10510
Bandarban,1986-1987,20285,13340
Bandarban,1987-1988,0,23235
Bandarban,1988-1989,19500,10720
Bandarban,1989-1990,23095,14685
Bandarban,1990-1991,24520,15410
Bandarban,1991-1992,25540,16290
Bandarban,1992-1993,25540,16290
Bandarban,1993-1994,25620,15690
Bandarban,1994-1995,26120,13430
Bandarban,1995-1996,5760,5170
Bandarban,1996-1997,29270,16690
Bandarban,1997-1998,30620,17120
Bandarban,1998-1999,30250,17000
Bandarban,1999-2000,31610,17580
Bandarban,2000-2001,30180,17870
Bandarban,2001-2002,23400,14020
Bandarban,2002-2003,25990,15610
Bandarban,2003-2004,25320,15170
Bandarban,2004-2005,24560,13390
Bandarban,2005-2006,15261,8196
Bandarban,2006-2007,16195,10604
Bandarban,2007-2008,18405,11513
Bandarban,2008-2009,20800,15636
Bandarban,2009-2010,18878,10690
Bandarban,2010-2011,19015,13955
Bandarban,2011-2012,20160,16327
Bandarban,2012-2013,18954,15309
Bandarban,2013-2014,19040,14954
Bandarban,2014-2015,19013,13871
Barguna,2006-2007,89470,56092
Barguna,2007-2008,89420,69622
Barguna,2008-2009,113630,89335
Barguna,2009-2010,108352,80873
Barguna,2010-2011,116932,88051
Barguna,2011-2012,113190,88300
Barguna,2012-2013,16536,16949
Barguna,2013-2014,21175,28013
Barguna,2014-2015,97047,94652
Barisal,1979-1980,441125,158180
Barisal,1980-1981,494995,225875
Barisal,1981-1982,0,374880
Barisal,1982-1983,412110,170275
Barisal,1983-1984,442275,189065
Barisal,1984-1985,439460,144967
Barisal,1985-1986,478875,171965
Barisal,1986-1987,518090,215605
Barisal,1987-1988,0,576285
Barisal,1988-1989,545415,212825
