FinancialYear,District Name,TotalArea(Acres),TotalProduction(Tons)
1969-1970,Dhaka,499125,185035
1969-1970,Kishoregonj,218880,54375
1969-1970,Mymensingh,1089970,325685
1969-1970,Tangail,0,0
1969-1970,Faridpur,577015,164925
1969-1970,Chittagong,264775,121470
1969-1970,Chittagong H.T.,128710,60160
1969-1970,Noakhali,478290,154690
1969-1970,Comilla,566325,224045
1969-1970,Sylhet,360260,164960
1969-1970,Rajshahi,474080,173860
1969-1970,Dinajpur,484460,187185
1969-1970,Rangpur,906800,324985
1969-1970,Bogra,286080,95240
1969-1970,Pabna,414815,145150
1969-1970,Khulna,119700,49115
1969-1970,Bakergonj,470150,181155
1969-1970,Patuakhali,126740,39200
1969-1970,Jessore,636155,214345
1969-1970,Kushtia,359405,97455
1970-1971,Dhaka,3100,400750
1970-1971,Kishoregonj,1075,231180
1970-1971,Mymensingh,9935,709830
1970-1971,Tangail,535,198640
1970-1971,Faridpur,0,479420
1970-1971,Chittagong,3760,217790
1970-1971,Chittagong H.T.,4600,121610
1970-1971,Noakhali,6265,489270
1970-1971,Comilla,16335,564220
1970-1971,Sylhet,14285,355030
1970-1971,Rajshahi,1010,463400
1970-1971,Dinajpur,8185,489920
1970-1971,Rangpur,1975,916840
1970-1971,Bogra,465,228600
1970-1971,Pabna,175,324480
1970-1971,Khulna,6590,83640
1970-1971,Bakergonj,2340,508750
1970-1971,Patuakhali,7100,127670
1970-1971,Jessore,7505,637010
1970-1971,Kushtia,11100,336900
1971-1972,Dhaka,406315,150285
1971-1972,Kishoregonj,240585,63310
1971-1972,Mymensingh,720075,222270
1971-1972,Tangail,199870,67905
1971-1972,Faridpur,435560,117600
1971-1972,Chittagong,197320,95810
1971-1972,Chittagong H.T.,117335,44420
1971-1972,Noakhali,463375,143625
1971-1972,Comilla,502410,169950
1971-1972,Sylhet,329135,132080
1971-1972,Rajshahi,442885,132530
1971-1972,Dinajpur,303370,103045
1971-1972,Rangpur,916865,278480
1971-1972,Bogra,210665,58020
1971-1972,Pabna,324625,88315
1971-1972,Khulna,93475,40365
1971-1972,Bakergonj,461215,128750
1971-1972,Patuakhali,101145,29925
1971-1972,Jessore,626820,203210
1971-1972,Kushtia,324890,73505
1972-1973,Dhaka,360745,104565
1972-1973,Kishoregonj,220290,67895
1972-1973,Mymensingh,729060,198725
1972-1973,Tangail,282070,79785
1972-1973,Faridpur,539500,153000
1972-1973,Chittagong,246185,100020
1972-1973,Chittagong H.T.,101890,30915
1972-1973,Noakhali,436350,158530
1972-1973,Comilla,493115,157780
1972-1973,Sylhet,248635,82385
1972-1973,Rajshahi,437000,142845
1972-1973,Dinajpur,274650,82835
1972-1973,Rangpur,827775,247375
