DistrictName ,FinancialYear,TotalArea(Acres),Production(Tons)
Bagerhat,2006-2007,268990,195978
Bagerhat,2007-2008,260955,136305
Bagerhat,2008-2009,261570,173540
Bagerhat,2009-2010,240087,184802
Bagerhat,2010-2011,223874,159030
Bagerhat,2011-2012,211095,150362
Bagerhat,2012-2013,204756,163796
Bagerhat,2013-2014,87304,63137
Bagerhat,2014-2015,204315,180613
Bakergonj,1969-1970,1598910,746570
Bakergonj,1970-1971,840863,189540
Bakergonj,1971-1972,830515,302025
Bakergonj,1972-1973,902450,360275
Bakergonj,1973-1974,904450,333855
Bakergonj,1974-1975,863065,301035
Bakergonj,1975-1976,872170,379155
Bakergonj,1976-1977,928285,417420
Bakergonj,1977-1978,914520,441480
Bakergonj,1978-1979,917765,449260
Bandarban,1979-1980,0,0
Bandarban,1980-1981,0,0
Bandarban,1981-1982,0,0
Bandarban,1982-1983,0,0
Bandarban,1983-1984,12970,10775
Bandarban,1984-1985,13750,10820
Bandarban,1985-1986,12270,9485
Bandarban,1986-1987,13440,11340
Bandarban,1987-1988,15225,9545
Bandarban,1988-1989,16640,14550
Bandarban,1989-1990,17970,16590
Bandarban,1990-1991,18730,16610
Bandarban,1991-1992,19330,19330
Bandarban,1992-1993,19990,20720
Bandarban,1993-1994,20610,20220
Bandarban,1994-1995,20910,19830
Bandarban,1995-1996,23550,22420
Bandarban,1996-1997,22540,21840
Bandarban,1997-1998,18190,17870
Bandarban,1998-1999,17990,18490
Bandarban,1999-2000,19250,17550
Bandarban,2000-2001,21350,23650
Bandarban,2001-2002,20520,20520
Bandarban,2002-2003,19560,21440
Bandarban,2003-2004,19330,21480
Bandarban,2004-2005,19360,21847
Bandarban,2005-2006,18295,18693
Bandarban,2006-2007,18390,18911
Bandarban,2007-2008,20090,21099
Bandarban,2008-2009,20645,22353
Bandarban,2009-2010,20793,22669
Bandarban,2010-2011,20242,18482
Bandarban,2011-2012,20414,21328
Bandarban,2012-2013,20309,20779
Bandarban,2013-2014,21579,23020
Bandarban,2014-2015,23294,23749
Barguna,2006-2007,229090,155619
Barguna,2007-2008,230500,92927
Barguna,2008-2009,236700,139574
Barguna,2009-2010,251652,175737
Barguna,2010-2011,252020,179308
Barguna,2011-2012,251884,180343
Barguna,2012-2013,245484,182560
Barguna,2013-2014,58241,61566
Barguna,2014-2015,229281,163600
Barisal,1979-1980,962920,418845
Barisal,1980-1981,926545,455425
Barisal,1981-1982,922570,405310
Barisal,1982-1983,920925,424030
Barisal,1983-1984,933275,455880
Barisal,1984-1985,921770,482515
Barisal,1985-1986,978000,531460
Barisal,1986-1987,984260,544565
Barisal,1987-1988,978440,518635
Barisal,1988-1989,944635,453095
Barisal,1989-1990,952930,573240
Barisal,1990-1991,939650,531860
Barisal,1991-1992,931550,484260
Barisal,1992-1993,930230,509500
Barisal,1993-1994,949770,494550
Barisal,1994-1995,894440,379660
Barisal,1995-1996,897090,480630
Barisal,1996-1997,884830,477870
Barisal,1997-1998,871970,346050
Barisal,1998-1999,820960,342100
Barisal,1999-2000,876760,532156
Barisal,2000-2001,937640,608300
Barisal,2001-2002,938790,938790
Barisal,2002-2003,903560,623030
Barisal,2003-2004,889450,596650
Barisal,2004-2005,825445,440382
Barisal,2005-2006,874905,563456
Barisal,2006-2007,274950,173703
Barisal,2007-2008,285105,126893
Barisal,2008-2009,312325,234919
Barisal,2009-2010,311427,232203
Barisal,2010-2011,320580,263150
Barisal,2011-2012,309110,258853
Barisal,2012-2013,305291,223867
Barisal,2013-2014,301184,245714
Barisal,2014-2015,293618,230758
Bhola,2006-2007,314580,198124
Bhola,2007-2008,352435,199749
Bhola,2008-2009,406840,299196
Bhola,2009-2010,412000,288994
Bhola,2010-2011,422471,327014
Bhola,2011-2012,422002,337660
Bhola,2012-2013,426285,318800
Bhola,2013-2014,435335,340666
Bhola,2014-2015,425541,334501
Bogra,1969-1970,634460,280905
Bogra,1970-1971,658210,350460
Bogra,1971-1972,598645,297250
Bogra,1972-1973,619855,265960
Bogra,1973-1974,575340,325880
Bogra,1974-1975,568865,330010
Bogra,1975-1976,560625,292430
Bogra,1976-1977,580140,310745
Bogra,1977-1978,600340,324910
Bogra,1978-1979,597820,344630
Bogra,1979-1980,632710,349095
Bogra,1980-1981,623220,389105
Bogra,1981-1982,620545,351155
Bogra,1982-1983,636145,356310
Bogra,1983-1984,644675,389345
Bogra,1984-1985,617840,425525
Bogra,1985-1986,657855,445610
Bogra,1986-1987,632080,410070
Bogra,1987-1988,530695,351510
Bogra,1988-1989,487065,325785
Bogra,1989-1990,581050,458680
Bogra,1990-1991,619240,486210
Bogra,1991-1992,607990,506820
Bogra,1992-1993,615730,537340
Bogra,1993-1994,588950,508880
Bogra,1994-1995,582220,470940
Bogra,1995-1996,558400,363210
Bogra,1996-1997,605280,424030
Bogra,1997-1998,579610,405200
Bogra,1998-1999,529900,347760
Bogra,1999-2000,579900,441180
Bogra,2000-2001,570890,473100
Bogra,2001-2002,565080,565080
Bogra,2002-2003,573460,478730
Bogra,2003-2004,577410,508170
Bogra,2004-2005,555775,464718
Bogra,2005-2006,540972,458407
Bogra,2006-2007,421930,372447
Bogra,2007-2008,411435,365945
Bogra,2008-2009,443735,386283
Bogra,2009-2010,441965,366445
Bogra,2010-2011,453517,396788
Bogra,2011-2012,453143,428279
Bogra,2012-2013,449903,448188
Bogra,2013-2014,455471,468936
Bogra,2014-2015,448004,480483
Brahmanbaria,2006-2007,93380,69035
Brahmanbaria,2007-2008,114060,72203
Brahmanbaria,2008-2009,170345,135606
Brahmanbaria,2009-2010,214030,163108
Brahmanbaria,2010-2011,157099,127768
Brahmanbaria,2011-2012,155439,130527
Brahmanbaria,2012-2013,153553,129766
Brahmanbaria,2013-2014,141598,135267
Brahmanbaria,2014-2015,154885,146601
Chandpur,2006-2007,117990,77183
Chandpur,2007-2008,84070,42389
Chandpur,2008-2009,118510,79282
Chandpur,2009-2010,129394,99443
Chandpur,2010-2011,129839,82066
Chandpur,2011-2012,108525,77592
Chandpur,2012-2013,116604,90938
Chandpur,2013-2014,91446,70130
Chandpur,2014-2015,105836,71142
Chittagong,1969-1970,497290,319075
Chittagong,1970-1971,517235,258050
Chittagong,1971-1972,546425,299685
Chittagong,1972-1973,569045,298870
Chittagong,1973-1974,579960,372250
Chittagong,1974-1975,560550,343390
Chittagong,1975-1976,567500,383375
Chittagong,1976-1977,561400,383330
Chittagong,1977-1978,572800,400395
Chittagong,1978-1979,573240,371815
Chittagong,1979-1980,608535,422545
Chittagong,1980-1981,554020,439475
Chittagong,1981-1982,551645,352320
Chittagong,1982-1983,549115,403695
Chittagong,1983-1984,556480,408530
Chittagong,1984-1985,552520,422680
Chittagong,1985-1986,544560,429280
Chittagong,1986-1987,620580,509515
Chittagong,1987-1988,642560,514370
Chittagong,1988-1989,702605,514385
Chittagong,1989-1990,673750,526470
Chittagong,1990-1991,660810,537650
Chittagong,1991-1992,658900,580430
Chittagong,1992-1993,636490,581510
Chittagong,1993-1994,644450,593680
Chittagong,1994-1995,625790,608260
Chittagong,1995-1996,236150,533030
Chittagong,1996-1997,615910,553840
Chittagong,1997-1998,448770,406090
Chittagong,1998-1999,455640,399950
Chittagong,1999-2000,614440,570110
Chittagong,2000-2001,624270,666350
Chittagong,2001-2002,647120,647120
Chittagong,2002-2003,657900,681580
Chittagong,2003-2004,656800,697760
Chittagong,2004-2005,644083,665129
Chittagong,2005-2006,632647,643804
Chittagong,2006-2007,459145,456501
Chittagong,2007-2008,450770,440316
Chittagong,2008-2009,474045,469112
Chittagong,2009-2010,469442,489931
Chittagong,2010-2011,458472,478656
Chittagong,2011-2012,455458,467750
Chittagong,2012-2013,444559,474409
Chittagong,2013-2014,440237,477130
Chittagong,2014-2015,437253,495198
Chittagong H.T.,1969-1970,57280,38140
Chittagong H.T.,1970-1971,54810,32485
Chittagong H.T.,1971-1972,58840,32805
Chittagong H.T.,1972-1973,33940,13970
Chittagong H.T.,1973-1974,62990,38335
Chittagong H.T.,1974-1975,58195,33075
Chittagong H.T.,1975-1976,60840,39755
Chittagong H.T.,1976-1977,64875,42675
Chittagong H.T.,1977-1978,66015,46455
Chittagong H.T.,1978-1979,65440,46415
Chuadanga,2006-2007,89290,76724
Chuadanga,2007-2008,87165,86416
Chuadanga,2008-2009,97585,94440
Chuadanga,2009-2010,113537,104373
Chuadanga,2010-2011,109103,96142
Chuadanga,2011-2012,107381,122987
Chuadanga,2012-2013,107457,119763
Chuadanga,2013-2014,227391,273828
Chuadanga,2014-2015,90259,99997
Comilla,1969-1970,976420,508305
Comilla,1970-1971,965080,452930
Comilla,1971-1972,946545,431115
Comilla,1972-1973,948270,407610
Comilla,1973-1974,924305,515140
Comilla,1974-1975,730175,240635
Comilla,1975-1976,876395,481915
Comilla,1976-1977,913665,437165
Comilla,1977-1978,919125,505045
Comilla,1978-1979,898490,475120
Comilla,1979-1980,914885,482810
Comilla,1980-1981,915980,505480
Comilla,1981-1982,912050,441920
Comilla,1982-1983,925195,494835
Comilla,1983-1984,926855,493810
Comilla,1984-1985,877415,482465
Comilla,1985-1986,936750,531450
Comilla,1986-1987,938715,524325
Comilla,1987-1988,870745,496500
Comilla,1988-1989,712680,424130
Comilla,1989-1990,885545,667890
Comilla,1990-1991,888160,611860
Comilla,1991-1992,814520,528270
Comilla,1992-1993,866650,586350
Comilla,1993-1994,937300,577940
Comilla,1994-1995,953360,584110
Comilla,1995-1996,956940,609490
Comilla,1996-1997,882090,579340
Comilla,1997-1998,799370,462280
Comilla,1998-1999,567600,336120
Comilla,1999-2000,832240,538360
Comilla,2000-2001,794680,645310
Comilla,2001-2002,743070,743070
Comilla,2002-2003,766880,642850
Comilla,2003-2004,657020,544970
Comilla,2004-2005,463834,330405
Comilla,2005-2006,548692,410652
Comilla,2006-2007,361495,276646
Comilla,2007-2008,366095,279798
Comilla,2008-2009,382070,327417
