DistrictName ,FinancialYear,TotalArea(Acres),Production(Tons)
Bagerhat,2006-2007,76710,89507
Bagerhat,2007-2008,87870,115500
Bagerhat,2008-2009,95134,140389
Bagerhat,2009-2010,112334,165431
Bagerhat,2010-2011,112587,150872
Bagerhat,2011-2012,115417,157143
Bagerhat,2012-2013,113653,172397
Bagerhat,2013-2014,117362,178202
Bagerhat,2014-2015,185172,293943
Bakergonj,1969-1970,56190,74380
Bakergonj,1970-1971,116110,145515
Bakergonj,1971-1972,84245,96155
Bakergonj,1973-1974,144425,146910
Bakergonj,1974-1975,112060,107680
Bakergonj,1975-1976,119600,115210
Bakergonj,1976-1977,66255,57985
Bakergonj,1977-1978,118075,109495
Bakergonj,1978-1979,88000,77995
Bandarban,1980-1981,0,0
Bandarban,1981-1982,0,0
Bandarban,1982-1983,0,0
Bandarban,1983-1984,3100,2795
Bandarban,1984-1985,3070,2635
Bandarban,1985-1986,3655,3425
Bandarban,1986-1987,14305,13570
Bandarban,1987-1988,5860,6341
Bandarban,1988-1989,5720,5990
Bandarban,1989-1990,5680,5610
Bandarban,1990-1991,5750,5410
Bandarban,1991-1992,6210,5890
Bandarban,1992-1993,6540,6930
Bandarban,1993-1994,6800,6050
Bandarban,1994-1995,6870,6330
Bandarban,1995-1996,8220,7810
Bandarban,1996-1997,8560,8040
Bandarban,1997-1998,9210,8880
Bandarban,1998-1999,9260,9270
Bandarban,1999-2000,6920,7210
Bandarban,2000-2001,6190,6480
Bandarban,2001-2002,6190,6720
Bandarban,2002-2003,4660,5370
Bandarban,2003-2004,0,5200
Bandarban,2004-2005,4699,5799
Bandarban,2005-2006,4650,5023
Bandarban,2006-2007,7370,8630
Bandarban,2007-2008,10150,13528
Bandarban,2008-2009,10226,12501
Bandarban,2009-2010,7811,10864
Bandarban,2010-2011,8142,9459
Bandarban,2011-2012,8182,10753
Bandarban,2012-2013,7974,9650
Bandarban,2013-2014,8761,10621
Bandarban,2014-2015,10978,14829
Barguna,2006-2007,605,377
Barguna,2007-2008,815,1007
Barguna,2008-2009,776,938
Barguna,2009-2010,1049,999
Barguna,2010-2011,1085,959
Barguna,2011-2012,1084,1037
Barguna,2012-2013,658,812
Barguna,2013-2014,1077,1277
Barguna,2014-2015,361086,499126
Barisal,1972-1973,109670,129695
Barisal,1979-1980,107090,99125
Barisal,1980-1981,104110,86730
Barisal,1981-1982,99075,96340
Barisal,1982-1983,114930,110720
Barisal,1983-1984,78875,73920
Barisal,1984-1985,98565,94490
Barisal,1985-1986,59030,49010
Barisal,1986-1987,49125,45260
Barisal,1987-1988,49561,45117
Barisal,1988-1989,72310,67665
Barisal,1989-1990,149460,151290
Barisal,1990-1991,156200,146130
Barisal,1991-1992,148560,146420
Barisal,1992-1993,118930,124130
Barisal,1993-1994,99780,100350
Barisal,1994-1995,76400,65860
Barisal,1995-1996,82120,77410
Barisal,1996-1997,89200,88110
Barisal,1997-1998,97140,95830
Barisal,1998-1999,157880,194350
Barisal,1999-2000,159660,206120
Barisal,2000-2001,175530,226300
Barisal,2001-2002,187570,215460
Barisal,2002-2003,188410,218990
Barisal,2003-2004,187810,224590
Barisal,2004-2005,220955,281120
Barisal,2005-2006,237600,312835
Barisal,2006-2007,133230,175096
Barisal,2007-2008,153150,229620
Barisal,2008-2009,154387,232363
Barisal,2009-2010,157386,220620
Barisal,2010-2011,149550,227852
Barisal,2011-2012,152309,243112
Barisal,2012-2013,150147,241504
Barisal,2013-2014,150047,226890
Barisal,2014-2015,23398,36356
Bhola,2006-2007,102715,126807
Bhola,2007-2008,121205,170357
Bhola,2008-2009,134495,191237
Bhola,2009-2010,135122,180951
Bhola,2010-2011,138907,195826
Bhola,2011-2012,139325,194221
Bhola,2012-2013,136307,202303
Bhola,2013-2014,131006,171108
Bhola,2014-2015,5327,4842
Bogra,1969-1970,30320,22680
Bogra,1970-1971,36600,33825
Bogra,1971-1972,30065,20595
Bogra,1972-1973,38855,34375
Bogra,1973-1974,46645,39520
Bogra,1974-1975,59695,38920
Bogra,1975-1976,54035,38750
Bogra,1976-1977,24065,19685
Bogra,1977-1978,54570,55210
Bogra,1978-1979,55670,61360
Bogra,1979-1980,57445,64020
Bogra,1980-1981,58995,69935
Bogra,1981-1982,91830,108390
Bogra,1982-1983,110890,127590
Bogra,1983-1984,170155,189940
Bogra,1984-1985,188960,225100
Bogra,1985-1986,219390,270507
Bogra,1986-1987,232650,249705
Bogra,1987-1988,348308,376010
Bogra,1988-1989,387410,428770
Bogra,1989-1990,420520,938880
Bogra,1990-1991,450460,473860
Bogra,1991-1992,458600,489890
Bogra,1992-1993,450140,503940
Bogra,1993-1994,447690,517120
Bogra,1994-1995,473210,542040
Bogra,1995-1996,473780,554670
Bogra,1996-1997,478300,572570
Bogra,1997-1998,491320,591810
Bogra,1998-1999,571510,705100
Bogra,1999-2000,583460,708770
Bogra,2000-2001,588200,719120
Bogra,2001-2002,603890,772260
Bogra,2002-2003,651960,854410
Bogra,2003-2004,678480,908890
Bogra,2004-2005,661263,901785
Bogra,2005-2006,650095,881387
Bogra,2006-2007,464335,677991
Bogra,2007-2008,469185,759711
Bogra,2008-2009,466761,782885
Bogra,2009-2010,463370,747627
Bogra,2010-2011,461051,696400
Bogra,2011-2012,458069,692543
Bogra,2012-2013,454736,730444
Bogra,2013-2014,461593,756043
Bogra,2014-2015,469850,688437
Brahmanbaria,2006-2007,242330,321416
Brahmanbaria,2007-2008,259980,411111
Brahmanbaria,2008-2009,267327,417369
Brahmanbaria,2009-2010,269765,402121
Brahmanbaria,2010-2011,270043,439584
Brahmanbaria,2011-2012,272317,434775
Brahmanbaria,2012-2013,264131,383782
Brahmanbaria,2013-2014,265204,404163
Brahmanbaria,2014-2015,268431,417043
Chandpur,2006-2007,160920,205306
Chandpur,2007-2008,168430,252391
Chandpur,2008-2009,164888,229990
Chandpur,2009-2010,162475,270438
Chandpur,2010-2011,164887,258904
Chandpur,2011-2012,162771,254239
Chandpur,2012-2013,161352,233621
Chandpur,2013-2014,158722,210305
Chandpur,2014-2015,159197,221831
Chittagong,1969-1970,143481,162770
Chittagong,1970-1971,167445,201390
Chittagong,1971-1972,157270,179330
Chittagong,1972-1973,151495,183085
Chittagong,1973-1974,184040,194345
Chittagong,1974-1975,204655,201380
Chittagong,1975-1976,195320,187955
Chittagong,1976-1977,220335,185430
Chittagong,1977-1978,219450,208665
Chittagong,1978-1979,223760,216485
