FinacialYear,Area(Acre),Area(Lac_Hectare,TotalProduction(M_Ton),TotalProduction(Lac_M_Ton),Yield Rate(M.ton_Hectare)
1970-71,2425450,9.82,2192185,21.92,2.233
1971-72,2185330,8.84,1737470,17.37,1.965
1972-73,2434090,9.85,2070250,20.7,2.102
1973-74,2595680,10.5,2120000,21.2,2.018
1974-75,2872025,11.62,2249680,22.5,1.936
1975-76,2837315,11.48,2284780,22.85,1.99
1976-77,2111880,8.55,1650125,16.5,1.931
1977-78,2703120,10.94,2238615,22.39,2.046
1978-79,2649385,10.72,1929345,19.29,1.799
1979-80,2818790,11.41,2536710,25.37,2.224
1980-81,2867385,11.6,2588645,25.89,2.231
1981-82,3218445,13.02,3102145,31.02,2.382
1982-83,3541815,14.33,3489150,34.89,2.434
1983-84,3462670,14.01,3296545,32.97,2.352
1984-85,3891485,15.75,3904291,39.04,2.479
1985-86,3789510,15.34,3670635,36.71,2.393
1986-87,4084245,16.53,4010400,40.1,2.426
1987-88,4850453,19.63,4730779,47.31,2.41
1988-89,6025810,24.39,5831260,58.31,2.391
1989-90,6204920,25.11,6766750,67.67,2.695
1990-91,6297170,25.48,6356650,63.57,2.494
1991-92,6511390,26.35,6804210,68.04,2.582
1992-93,6422900,25.99,6585740,65.86,2.534
1993-94,6378190,25.81,6572200,65.72,2.546
1994-95,6581890,26.64,6544170,65.44,2.457
1995-96,6432470,26.03,7221020,72.21,2.774
1996-97,6876060,27.83,7459920,74.6,2.681
1997-98,7134430,28.87,8145220,81.45,2.821
1998-99,8584770,34.74,10274840,102.75,2.957
1999-00,9024180,36.52,11027010,110.27,3.019
2000-01,9295890,37.62,11920940,119.21,3.169
2001-02,9319340,37.71,11765500,117.66,3.12
2002-03,9500990,38.45,12221850,122.22,3.179
2003-04,9744810,39.44,12837230,128.37,3.255
2004-05,10042030,40.64,13837060,138.37,3.405
2005-06,10047020,40.66,13975317,139.75,3.437
2006-07,10521630,42.58,14965055,149.65,3.515
2007-08,11385915,46.08,17761781,177.62,3.855
2008-09,11654317,47.16,17809051,178.09,3.776
2009-10,11806600,47.78,18341000,183.41,3.839
2010-11,11787978,47.71,18616780,186.17,3.902
2011-12,11886052,48.1,18759212,187.59,3.9
2012-13,11762572,47.6,18778154,187.78,3.945
2013-14,11837334,47.91,19007201,190.07,3.968
2014-15,11960673,48.4,19192164,191.92,3.965
