Element,Aman_Rice,AUS_Rice,Boro_Rice,Gross_Area,Aman_Production,AUS_Production,Boro_Production,Total_Production,Average_Yield_Rate,Temperature,Rainfall
1961,48.34,28.8,7.66,84.8,78.54,37.4,14.97,130.91,1.54,25.18,211.68
1962,49.53,29.5,7.87,86.9,72.44,34.49,12.59,120.73,1.39,25.16,179.08
1963,51.36,30.6,8.14,90.1,86.76,41.31,16.53,144.6,1.6,25.28,189.57
1964,52.6,31.38,8.32,92.3,85.77,40.84,14.91,142.95,1.55,25.44,209.28
1965,53.35,31.82,8.43,93.6,85.75,40.83,14.9,142.92,1.526,25.16,198.27
1966,51.69,30.8,8.21,90.7,78.2,37.23,13.59,130.33,1.436,25.49,177.89
1967,56.36,33.62,8.91,98.89,91.23,43.44,15.85,152.05,1.537,25.1,181.23
1968,55.53,33.12,8.77,97.42,92.64,44.12,16.1,154.4,1.584,25.49,210.46
1969,58.78,35.06,9.3,103.14,98.04,46.68,17.01,163.4,1.589,25.37,189.28
1970,57.4,31.91,9.82,99.12,58.13,28.63,21.92,108.68,1.096,25.27,220.73
1971,54.74,30.02,8.84,99.13,56.96,23.43,17.37,97.76,1.044,24.68,177.08
1972,57.14,29.3,9.85,93.6,55.87,22.73,20.7,99.3,1.031,25.19,143.15
1973,57.19,31.08,10.5,96.29,66.99,28.02,21.2,116.21,1.177,25.28,212.16
1974,54.51,31.8,11.62,98.77,60,28.59,22.5,111.09,1.134,24.98,223.93
1975,57.61,34.21,11.48,97.93,70.45,32.3,22.85,125.6,1.216,25.16,185.38
1976,58.09,32.18,8.55,103.3,69.06,30.11,16.5,115.67,1.171,25.28,191.5
1977,57.07,31.63,10.94,98.82,74.24,31.03,22.39,127.66,1.281,24.98,197.12
1978,58.06,32.36,10.72,99.64,74.29,32.88,19.29,126.46,1.25,25.07,190.85
1979,59.7,30.29,11.41,101.14,75.53,28.07,25.37,128.97,1.272,25.82,190.22
1980,60.37,31.12,11.6,101.4,78.37,32.35,25.89,136.61,1.325,25.42,183.89
1981,60.11,31.46,13.02,103.09,70.95,32.18,31.02,134.15,1.283,25.04,216.07
1982,59.97,31.59,14.33,104.59,74.83,30.18,34.89,139.9,1.321,25.22,178.98
1983,60.08,31.39,14.01,105.89,78.12,31.71,32.97,142.8,1.354,25.2,224.23
1984,57.15,29.59,15.75,105.48,79.31,28.5,39.04,146.85,1.433,25.25,243.75
1985,60.33,28.45,15.34,102.49,85.39,28.27,36.71,150.37,1.444,25.53,186.48
1986,60.53,29.03,16.53,104.12,82.65,31.5,40.1,154.25,1.454,25.41,201.47
1987,55.69,27.89,19.63,106.09,76.9,11.16,47.31,135.37,1.312,25.73,220.88
1988,51.02,26.84,24.39,103.21,68.57,28.56,58.31,155.44,1.52,25.79,228.15
1989,57.04,22.62,25.11,102.25,92.02,24.87,67.67,184.56,1.762,25.44,165.15
1990,57.76,21.11,25.48,104.77,91.67,23.28,63.57,178.52,1.711,25.41,215.78
1991,56.93,19.16,26.35,104.35,92.69,21.79,68.04,182.52,1.782,25.08,218.03
1992,58.44,17.35,25.99,102.44,96.8,20.75,65.86,183.41,1.802,24.93,145.13
1993,57.51,16.5,25.81,101.78,94.29,18.5,65.72,178.51,1.788,24.93,221.39
1994,55.59,16.66,26.64,99.82,85.04,17.91,65.44,168.39,1.703,25.29,149.68
1995,57.72,15.42,26.03,98.89,87.9,16.76,72.21,176.87,1.784,25.58,195.57
1996,58.03,15.92,27.83,99.17,95.52,18.71,74.6,188.83,1.855,25.5,178.98
1997,54.82,15.65,28.87,101.78,82.72,18.74,81.45,182.91,1.841,25.04,183.21
1998,48.65,14.24,34.74,99.34,72.17,16.17,102.75,191.09,1.957,25.79,212.39
1999,57.05,13.51,36.52,97.63,103.06,17.34,110.27,230.67,2.154,25.95,212.65
2000,57.1,13.25,37.62,107.08,112.49,19.16,119.21,250.86,2.323,25.12,198.38
2001,56.47,12.42,37.71,107.97,107.26,18.08,117.66,243,2.28,25.85,191.23
2002,56.82,12.44,38.45,106.6,111.15,18.51,122.22,251.88,2.339,25.6,195.17
2003,56.78,12.03,39.44,107.71,115.21,18.32,128.37,261.9,2.419,25.58,181.96
2004,52.8,10.25,40.64,108.25,98.2,15,138.37,251.57,2.426,25.63,187.24
2005,54.29,10.34,40.66,103.69,108.1,17.45,139.75,265.3,2.52,25.86,168.35
2006,54.16,9.06,42.58,105.29,108.41,15.12,149.65,273.18,2.582,26.18,160.65
2007,50.48,9.19,46.08,105.8,96.62,15.07,177.62,289.31,2.736,25.89,207.14
2008,54.98,10.66,47.16,105.75,116.13,18.95,178.09,313.17,2.776,25.68,181.65
2009,56.63,9.84,47.78,112.8,122.07,17.09,183.41,322.57,2.823,26.43,165.63
2010,56.46,11.13,47.71,114.25,127.91,21.33,186.17,335.41,2.909,26.31,187.23
2011,55.8,11.38,48.1,115.3,127.98,23.32,187.59,338.89,2.94,25.69,164.19
2012,56.1,10.53,47.6,115.28,128.97,21.58,187.78,338.33,2.962,25.2,166.01
2013,55.3,10.51,47.91,114.23,130.23,23.26,190.07,343.56,3.021,25.13,168.59
2014,55.3,10.45,48.4,113.72,131.9,23.28,191.92,347.1,3.041,25.4,150.19
2015,,,,114.15,,,,420.1,3.68,25.26,211.87
2016,,,,116.15,,,,407.83,3.511,25.73,176.64
2017,,,,115.15,,,,441.36,3.832,25.5,228.56
2018,,,,115.16,,,,443.79,3.853,25.11,151.89
2019,,,,115.17,,,,445.33,3.866,25.44,169.11
