Area,Item,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
Bangladesh,"Anise, badian, fennel, coriander",Area harvested,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,"Anise, badian, fennel, coriander",Production,tonnes,600,300,300,300,300,300,300,300,300,300,400,400,500,600,800,800,1000,800,600,400,200,0,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,Areca nuts,Area harvested,ha,82600,82600,82200,79700,71200,44900,38900,38000,40900,40100,40100,37683,37573,37116,37336,37049,37387,37118,36661,36227,36432,35368,35613,35182,34559,33945,34233,34648,34800,34912,35813,35916,35813,35600,36000,36400,36000,36000,77000,77000,77800,77296,77296,77700,167640,168680,165270,173380,176350,178630,182389,222570,238760,230670,238760,238760,291210,270358,386957
Bangladesh,Areca nuts,Yield,hg/ha,7627,6765,7169,7139,6564,5431,6922,7487,6455,6580,5828,5692,5736,5771,6006,6414,6865,6958,7217,6561,6876,6812,6458,6879,6568,6792,6358,6472,6609,6519,6735,6755,6661,7303,7222,7418,7500,7778,5714,5844,6041,6598,7116,7079,5597,5775,6126,5649,5979,5132,5809,6110,7581,8150,9131,8963,8477,7981,8185
Bangladesh,Areca nuts,Production,tonnes,62995,55882,58931,56898,46738,24385,26925,28449,26400,26385,23369,21448,21550,21419,22424,23765,25665,25828,26458,23767,25051,24091,23000,24200,22700,23055,21765,22425,23000,22760,24120,24260,23855,26000,26000,27000,27000,28000,44000,45000,47000,51000,55000,55000,93820,97415,101240,97947,105448,91681,105953,136000,181000,188000,218000,214000,246863,215783,316715
Bangladesh,Bananas,Area harvested,ha,33600,34800,34000,36000,40500,42100,43700,43284,43083,39204,37984,37557,37462,36830,37211,37735,37992,38211,39044,40226,42385,42772,41940,40476,40580,40975,41055,38314,39142,38904,39119,38875,38948,39448,39700,39632,39646,39618,39254,40469,42914,44921,45350,49281,53862,55847,58792,53270,53585,53946,52847,49278,48157,46134,46714,47432,48644,49123,48850
Bangladesh,Bananas,Yield,hg/ha,132738,147155,138059,158639,153037,180523,169725,177225,172863,151362,156843,156026,157007,156155,155416,155989,155221,156079,157871,162109,161344,163375,160875,170414,170381,185262,166598,158929,162763,160310,160092,163630,162152,162201,159698,159882,158509,157690,143170,141343,141213,145589,143270,143379,166854,162777,170860,164656,156048,151680,151539,151371,160896,166949,166423,168243,165921,164963,170585
Bangladesh,Bananas,Production,tonnes,446000,512100,469400,571100,619800,760000,741700,767100,744744,593400,595751,585987,588181,575120,578318,588625,589714,596393,616393,652101,683855,698786,674708,689767,691405,759110,683970,608921,637087,623670,626265,636110,631550,639850,634000,633645,628425,624735,562000,572000,606000,654000,649730,706585,898710,909060,1004520,877123,836183,818254,800840,745927,774826,770203,777427,798012,807104,810347,833309
Bangladesh,Barley,Area harvested,ha,29947,33589,30756,23877,20639,21900,22700,24700,28300,29500,37200,28700,25900,24453,25550,25558,23484,21327,19952,19557,18351,15128,12633,9605,24725,21996,19499,17910,18609,18605,17618,16060,12296,10072,10000,9354,9407,9270,8498,6880,5668,4048,2383,1881,1275,969,929,613,549,619,547,361,290,248,348,356,329,301,191
Bangladesh,Barley,Yield,hg/ha,5768,5445,6937,5532,5907,5571,6696,6599,6466,6542,7097,7422,6293,6306,6406,6701,6278,6318,6311,6491,6343,6879,7001,6727,6265,6398,6271,6393,6167,6280,6130,6351,6156,6190,6000,6430,6362,6516,5884,7267,7057,7411,7113,7310,9176,7843,8127,8760,8597,8530,8848,8864,8966,10726,8822,8904,8723,8106,8220
Bangladesh,Barley,Production,tonnes,17272,18288,21336,13208,12192,12200,15200,16300,18300,19300,26400,21300,16300,15419,16367,17126,14744,13474,12592,12694,11640,10406,8844,6461,15491,14073,12227,11449,11477,11684,10800,10200,7570,6235,6000,6015,5985,6040,5000,5000,4000,3000,1695,1375,1170,760,755,537,472,528,484,320,260,266,307,317,287,244,157
Bangladesh,"Bastfibres, other",Area harvested,ha,30900,30900,31700,37700,50700,23500,51100,25205,38731,27305,23316,24038,21929,15402,13363,14542,15176,16062,13740,10221,9758,9505,8732,9063,10360,9331,7370,5914,6941,20107,5000,1000,992,7000,1000,2238,1000,2024,2000,2028,1995,2186,2279,2408,3000,2625,2629,2601,2547,2476,2402,2400,2400,3662,4321,4888,5655,6658,8037
Bangladesh,"Bastfibres, other",Yield,hg/ha,11117,11294,10779,11910,10757,11123,11342,10683,11433,10394,9234,9989,10287,8648,10286,10287,10770,11617,11261,9632,9971,9591,9848,9331,9394,10370,10456,9630,10205,7151,10000,10000,10081,10000,10000,10393,10000,14822,13940,15360,14622,14780,14800,14560,16667,13345,12533,11749,11009,10323,9688,7917,7917,7327,6330,5479,4725,4004,3310
Bangladesh,"Bastfibres, other",Production,tonnes,34350,34900,34170,44900,54540,26140,57960,26926,44283,28380,21531,24012,22558,13319,13745,14959,16344,18659,15473,9845,9730,9116,8599,8457,9732,9676,7706,5695,7083,14379,5000,1000,1000,7000,1000,2326,1000,3000,2788,3115,2917,3231,3373,3506,5000,3503,3295,3056,2804,2556,2327,1900,1900,2683,2735,2678,2672,2666,2660
Bangladesh,"Beans, dry",Area harvested,ha,68798,73654,67988,66773,67583,78915,74058,78834,78951,75392,71460,87000,105000,130000,140000,170000,175000,194000,178000,170000,155000,148000,144300,135100,128600,122800,128400,128000,129918,126436,123727,121000,121000,121800,120200,119800,120000,84176,83771,79724,71630,69607,68600,47348,45729,47669,48009,46482,55340,59186,68000,67200,65000,77699,77840,83020,83020,81720,87380
