Area,Year,Item,Area Harvested,Yield,Humidity,Wind Speed,Temperature,Production
Bangladesh,1961,Areca nuts,82600,7627,NaN,NaN,NaN,62995
Bangladesh,1961,Bananas,33600,132738,NaN,NaN,NaN,446000
Bangladesh,1961,Barley,29947,5768,NaN,NaN,NaN,17272
Bangladesh,1961,"Bastfibres, others",30900,11117,NaN,NaN,NaN,34350
Bangladesh,1961,"Beans, dry",68798,7236,NaN,NaN,NaN,49784
Bangladesh,1961,"Beans, green",4266,36847,NaN,NaN,NaN,15719
Bangladesh,1961,Berries nes,500,40000,NaN,NaN,NaN,2000
Bangladesh,1961,Cabbages and other brassicas,5765,57563,NaN,NaN,NaN,33185
Bangladesh,1961,Castor oil seed,405,5012,NaN,NaN,NaN,203
Bangladesh,1961,Cauliflowers and broccoli,5419,50495,NaN,NaN,NaN,27363
Bangladesh,1961,Chick peas,60299,6066,NaN,NaN,NaN,36576
Bangladesh,1961,"Chillies and peppers, dry",70800,6638,NaN,NaN,NaN,47000
Bangladesh,1961,Coconuts,17800,27970,NaN,NaN,NaN,49786
Bangladesh,1961,Cucumbers and gherkins,2537,43603,NaN,NaN,NaN,11062
Bangladesh,1961,Fibre crops nes,2400,9167,NaN,NaN,NaN,2200
Bangladesh,1961,"Fruit, fresh nes",9000,66667,NaN,NaN,NaN,60000
Bangladesh,1961,"Fruit, tropical fresh nes",13000,92308,NaN,NaN,NaN,120000
Bangladesh,1961,Garlic,9700,34639,NaN,NaN,NaN,33600
Bangladesh,1961,Ginger,3000,66667,NaN,NaN,NaN,20000
Bangladesh,1961,Grapefruit (inc. pomelos),500,40000,NaN,NaN,NaN,2000
Bangladesh,1961,"Groundnuts, with shell",11736,11254,NaN,NaN,NaN,13208
Bangladesh,1961,Jute,834000,15762,NaN,NaN,NaN,1314540
Bangladesh,1961,Lemons and limes,400,25000,NaN,NaN,NaN,1000
Bangladesh,1961,Lentils,62727,6803,NaN,NaN,NaN,42672
Bangladesh,1961,Lettuce and chicory,8500,56471,NaN,NaN,NaN,48000
Bangladesh,1961,Linseed,19425,5230,NaN,NaN,NaN,10160
Bangladesh,1961,Maize,8903,7988,NaN,NaN,NaN,7112
Bangladesh,1961,"Mangoes, mangosteens, guavas",40000,127000,NaN,NaN,NaN,508000
Bangladesh,1961,"Melons, other (inc.cantaloupes)",6000,166667,NaN,NaN,NaN,100000
Bangladesh,1961,Millet,59500,6655,NaN,NaN,NaN,39600
Bangladesh,1961,Oilseeds nes,5261,1931,NaN,NaN,NaN,1016
Bangladesh,1961,"Onions, dry",22300,61211,NaN,NaN,NaN,136500
Bangladesh,1961,Oranges,2000,50000,NaN,NaN,NaN,10000
Bangladesh,1961,"Peas, dry",38000,6579,NaN,NaN,NaN,25000
Bangladesh,1961,Pigeon peas,5666,7173,NaN,NaN,NaN,4064
Bangladesh,1961,Pineapples,3600,53625,NaN,NaN,NaN,19305
Bangladesh,1961,Potatoes,55847,61491,NaN,NaN,NaN,343408
Bangladesh,1961,Pulses nes,129501,7375,NaN,NaN,NaN,95504
Bangladesh,1961,"Rice, paddy",8483516,17005,NaN,NaN,NaN,14426184
