Area,Year,Item,Area Harvested,Yield,Production
Bangladesh,1961,Areca nuts,82600,7627,62995
Bangladesh,1961,Bananas,33600,132738,446000
Bangladesh,1961,Barley,29947,5768,17272
Bangladesh,1961,"Bastfibres, others",30900,11117,34350
Bangladesh,1961,"Beans, dry",68798,7236,49784
Bangladesh,1961,"Beans, green",4266,36847,15719
Bangladesh,1961,Berries nes,500,40000,2000
Bangladesh,1961,Cabbages and other brassicas,5765,57563,33185
Bangladesh,1961,Castor oil seed,405,5012,203
Bangladesh,1961,Cauliflowers and broccoli,5419,50495,27363
Bangladesh,1961,Chick peas,60299,6066,36576
Bangladesh,1961,"Chillies and peppers, dry",70800,6638,47000
Bangladesh,1961,Coconuts,17800,27970,49786
Bangladesh,1961,Cucumbers and gherkins,2537,43603,11062
Bangladesh,1961,Fibre crops nes,2400,9167,2200
Bangladesh,1961,"Fruit, fresh nes",9000,66667,60000
Bangladesh,1961,"Fruit, tropical fresh nes",13000,92308,120000
Bangladesh,1961,Garlic,9700,34639,33600
Bangladesh,1961,Ginger,3000,66667,20000
Bangladesh,1961,Grapefruit (inc. pomelos),500,40000,2000
Bangladesh,1961,"Groundnuts, with shell",11736,11254,13208
Bangladesh,1961,Jute,834000,15762,1314540
Bangladesh,1961,Lemons and limes,400,25000,1000
Bangladesh,1961,Lentils,62727,6803,42672
Bangladesh,1961,Lettuce and chicory,8500,56471,48000
Bangladesh,1961,Linseed,19425,5230,10160
Bangladesh,1961,Maize,8903,7988,7112
Bangladesh,1961,"Mangoes, mangosteens, guavas",40000,127000,508000
Bangladesh,1961,"Melons, other (inc.cantaloupes)",6000,166667,100000
Bangladesh,1961,Millet,59500,6655,39600
Bangladesh,1961,Oilseeds nes,5261,1931,1016
Bangladesh,1961,"Onions, dry",22300,61211,136500
Bangladesh,1961,Oranges,2000,50000,10000
Bangladesh,1961,"Peas, dry",38000,6579,25000
Bangladesh,1961,Pigeon peas,5666,7173,4064
Bangladesh,1961,Pineapples,3600,53625,19305
Bangladesh,1961,Potatoes,55847,61491,343408
Bangladesh,1961,Pulses nes,129501,7375,95504
Bangladesh,1961,"Rice, paddy",8483516,17005,14426184
Bangladesh,1961,Sesame seed,57466,4597,26416
Bangladesh,1961,Sorghum,809,12559,1016
Bangladesh,1961,Spices nes,37600,31064,116800
Bangladesh,1961,Spinach,1350,45926,6200
Bangladesh,1961,Sugar cane,112908,355890,4018280
Bangladesh,1961,Sugar crops nes,9200,369565,340000
Bangladesh,1961,Sweet potatoes,37000,89189,330000
Bangladesh,1961,"Tangerines, mandarins, clementines, satsumas",700,71429,5000
Bangladesh,1961,Tea,32000,8294,26542
Bangladesh,1961,Tobacco,41300,6271,25900
Bangladesh,1961,Tomatoes,8071,60593,48905
Bangladesh,1961,"Vegetables, fresh nes",74138,48845,362128
Bangladesh,1961,Wheat,56657,32512,5738
Bangladesh,1961,Roots and Tubers,92847,72529,673408
Bangladesh,1961,Vegetables Primary,157150,51320,806500
